Movie,Year,Genre,,,,,,,,,,,,,,,,
Donnie Darko,1973, Sci-Fi            ,,,,,,,,,,,,,,,,
Don't Look Now,2002, Mystery            ,,,,,,,,,,,,,,,,
Dope,1989, Crime            ,,,,,,,,,,,,,,,,
Double Indemnity,1988, Film-Noir            ,,,,,,,,,,,,,,,,
Downfall,2010, History            ,,,,,,,,,,,,,,,,
Dr. No,1986, Thriller            ,,,,,,,,,,,,,,,,
Dunkirk,2003, History            ,,,,,,,,,,,,,,,,
E.T. the Extra-Terrestrial,1978, Sci-Fi            ,,,,,,,,,,,,,,,,
Eastern Promises,1970, Thriller            ,,,,,,,,,,,,,,,,
Easy A,2001, Romance            ,,,,,,,,,,,,,,,,
Ed Wood,1994, Drama            ,,,,,,,,,,,,,,,,
Edge of Tomorrow,1952, Sci-Fi            ,,,,,,,,,,,,,,,,
Edward Scissorhands,1994, Romance            ,,,,,,,,,,,,,,,,
El Mariachi,2005, Thriller            ,,,,,,,,,,,,,,,,
Elf,2002, Family            ,,,,,,,,,,,,,,,,
Empire of the Sun,1971, History            ,,,,,,,,,,,,,,,,
End of Watch,1999, Drama            ,,,,,,,,,,,,,,,,
Enron: The Smartest Guys in the Room,2009, History            ,,,,,,,,,,,,,,,,
Enter the Dragon,1980, Drama            ,,,,,,,,,,,,,,,,
Eraserhead,1994, Thriller            ,,,,,,,,,,,,,,,,
Escape from Alcatraz,2006, Crime            ,,,,,,,,,,,,,,,,
Eternal Sunshine of the Spotless Mind,2009, Sci-Fi            ,,,,,,,,,,,,,,,,
Exit Through the Gift Shop,1973, Crime            ,,,,,,,,,,,,,,,,
Eyes Wide Shut,2005, Thriller            ,,,,,,,,,,,,,,,,
Face/Off,1992, Sci-Fi            ,,,,,,,,,,,,,,,,
Fahrenheit 9/11,1989, War            ,,,,,,,,,,,,,,,,
Falling Down,2000, Drama            ,,,,,,,,,,,,,,,,
Fantastic Mr. Fox,2012, Comedy            ,,,,,,,,,,,,,,,,
Fast Five,1992, Crime            ,,,,,,,,,,,,,,,,
Fear and Loathing in Las Vegas,2001, Drama            ,,,,,,,,,,,,,,,,
Field of Dreams,1985, Fantasy            ,,,,,,,,,,,,,,,,
Filth,2016, Crime            ,,,,,,,,,,,,,,,,
Finding Nemo,1994, Comedy            ,,,,,,,,,,,,,,,,
Fletch,2006, Mystery            ,,,,,,,,,,,,,,,,
Four Lions,1987, Drama            ,,,,,,,,,,,,,,,,
Four Weddings and a Funeral,2011, Romance            ,,,,,,,,,,,,,,,,
Free Fire,2003, Crime            ,,,,,,,,,,,,,,,,
Freeway,1955, Drama            ,,,,,,,,,,,,,,,,
From Dusk Till Dawn,2009, Horror            ,,,,,,,,,,,,,,,,
From Russia with Love,1974, Thriller            ,,,,,,,,,,,,,,,,
Frost/Nixon,2003, History            ,,,,,,,,,,,,,,,,
Furious 7,1993, Thriller            ,,,,,,,,,,,,,,,,
Galaxy Quest,1995, Sci-Fi            ,,,,,,,,,,,,,,,,
Gangster No. 1,1989, Thriller            ,,,,,,,,,,,,,,,,
Garden State,1988, Romance            ,,,,,,,,,,,,,,,,
Gattaca,1990, Thriller            ,,,,,,,,,,,,,,,,
Get Carter,1989, Thriller            ,,,,,,,,,,,,,,,,
Get Out,2019, Thriller            ,,,,,,,,,,,,,,,,
Get Shorty,1971, Thriller            ,,,,,,,,,,,,,,,,
Ghostbusters,2009, Fantasy            ,,,,,,,,,,,,,,,,
Ghostbusters II,2005, Fantasy            ,,,,,,,,,,,,,,,,
Gimme Shelter,1991, Thriller            ,,,,,,,,,,,,,,,,
Gladiator,2000, Drama            ,,,,,,,,,,,,,,,,
Glengarry Glen Ross,1959, Mystery            ,,,,,,,,,,,,,,,,
Glory,2009, History            ,,,,,,,,,,,,,,,,
GoldenEye,2011, Thriller            ,,,,,,,,,,,,,,,,
Goldfinger,1993, Thriller            ,,,,,,,,,,,,,,,,
Gone Baby Gone,2012, Mystery            ,,,,,,,,,,,,,,,,
Gone Girl,2010, Thriller            ,,,,,,,,,,,,,,,,
Gone with the Wind,1994, Romance            ,,,,,,,,,,,,,,,,
Gonzo,2007, Music            ,,,,,,,,,,,,,,,,
"Good Morning, Vietnam",2008, Drama            ,,,,,,,,,,,,,,,,
Good Vibrations,2014, Music            ,,,,,,,,,,,,,,,,
Goodfellas,1967, Drama            ,,,,,,,,,,,,,,,,
Goon,2009, Sport            ,,,,,,,,,,,,,,,,
Gravity,2014, Sci-Fi            ,,,,,,,,,,,,,,,,
Gremlins,2001, Horror            ,,,,,,,,,,,,,,,,
Gremlins 2: The New Batch,2009, Horror            ,,,,,,,,,,,,,,,,
Grosse Pointe Blank,1989, Crime            ,,,,,,,,,,,,,,,,
Groundhog Day,1999, Romance            ,,,,,,,,,,,,,,,,
Guardians of the Galaxy,1977, Comedy            ,,,,,,,,,,,,,,,,
Guardians of the Galaxy Vol. 2,1991, Comedy            ,,,,,,,,,,,,,,,,
Hacksaw Ridge,2009, History            ,,,,,,,,,,,,,,,,
Hard Boiled,2006, Thriller            ,,,,,,,,,,,,,,,,
Harold and Maude,2005, Romance            ,,,,,,,,,,,,,,,,
Harry Brown,2012, Drama            ,,,,,,,,,,,,,,,,
Heat,1990, Drama            ,,,,,,,,,,,,,,,,
Heavenly Creatures,1991, Drama            ,,,,,,,,,,,,,,,,
Hell or High Water,2008, Drama            ,,,,,,,,,,,,,,,,
Hellboy II: The Golden Army,2014, Fantasy            ,,,,,,,,,,,,,,,,
Henry: Portrait of a Serial Killer,1997, Drama            ,,,,,,,,,,,,,,,,
Her,1950, Sci-Fi            ,,,,,,,,,,,,,,,,
Hereditary,1991, Mystery            ,,,,,,,,,,,,,,,,
High Fidelity,2013, Music            ,,,,,,,,,,,,,,,,
His Girl Friday,2001, Romance            ,,,,,,,,,,,,,,,,
Home Alone 2: Lost in New York,2003, Crime            ,,,,,,,,,,,,,,,,
Hot Fuzz,2012, Mystery            ,,,,,,,,,,,,,,,,
Hotel Rwanda,1996, History            ,,,,,,,,,,,,,,,,
How to Train Your Dragon,1973, Adventure            ,,,,,,,,,,,,,,,,
How to Train Your Dragon 2,2003, Adventure            ,,,,,,,,,,,,,,,,
Hugo,2016, Family            ,,,,,,,,,,,,,,,,
Hunger,1992, Drama            ,,,,,,,,,,,,,,,,
I Love You Phillip Morris,2002, Crime            ,,,,,,,,,,,,,,,,
"I, Tonya",2011, Drama            ,,,,,,,,,,,,,,,,
Ichi the Killer,1960, Crime            ,,,,,,,,,,,,,,,,
I'm Not There,2014, Music            ,,,,,,,,,,,,,,,,
In Bruges,2010, Drama            ,,,,,,,,,,,,,,,,
In the Line of Fire,1986, Drama            ,,,,,,,,,,,,,,,,
In the Name of the Father,2004, Drama            ,,,,,,,,,,,,,,,,
Incendies,1990, War            ,,,,,,,,,,,,,,,,
Inception,2015, Sci-Fi            ,,,,,,,,,,,,,,,,
Infernal Affairs,2005, Drama            ,,,,,,,,,,,,,,,,
Inglourious Basterds,2010, War            ,,,,,,,,,,,,,,,,
Inside Man,2006, Mystery            ,,,,,,,,,,,,,,,,
Insomnia,2003, Thriller            ,,,,,,,,,,,,,,,,
Interstellar,2014, Sci-Fi            ,,,,,,,,,,,,,,,,
Interview with the Vampire: The Vampire Chronicles,1998, Horror            ,,,,,,,,,,,,,,,,
Into the Abyss,1994, Drama            ,,,,,,,,,,,,,,,,
Iron Man,1997, Sci-Fi            ,,,,,,,,,,,,,,,,
Iron Man Three,1982, Sci-Fi            ,,,,,,,,,,,,,,,,
Irreversible,2005, Mystery            ,,,,,,,,,,,,,,,,
It Follows,1979, Thriller            ,,,,,,,,,,,,,,,,
It's a Wonderful Life,1999, Fantasy            ,,,,,,,,,,,,,,,,
Jackass 3D,1998, Comedy            ,,,,,,,,,,,,,,,,
Jackass Number Two,1990, Comedy            ,,,,,,,,,,,,,,,,
Jackass: The Movie,2002, Comedy            ,,,,,,,,,,,,,,,,
Jackie Brown,2002, Thriller            ,,,,,,,,,,,,,,,,
Jacob's Ladder,2016, Mystery            ,,,,,,,,,,,,,,,,
Jerry Maguire,2008, Romance            ,,,,,,,,,,,,,,,,
JFK,2009, Thriller            ,,,,,,,,,,,,,,,,
Jo Nesbø's Headhunters,1994, Thriller            ,,,,,,,,,,,,,,,,
John Wick,1960, Thriller            ,,,,,,,,,,,,,,,,
John Wick: Chapter 3 - Parabellum,2003, Thriller            ,,,,,,,,,,,,,,,,
Jumanji,1957, Family            ,,,,,,,,,,,,,,,,
Jurassic Park,1949, Sci-Fi            ,,,,,,,,,,,,,,,,
Kick-Ass,1984, Crime            ,,,,,,,,,,,,,,,,
Kill Bill: Vol. 1,2016, Drama            ,,,,,,,,,,,,,,,,
Kill Bill: Vol. 2,2002, Thriller            ,,,,,,,,,,,,,,,,
Kill List,1999, Horror            ,,,,,,,,,,,,,,,,
Killer Joe,1993, Thriller            ,,,,,,,,,,,,,,,,
King Kong,1975, Drama            ,,,,,,,,,,,,,,,,
King Kong,1975, Sci-Fi            ,,,,,,,,,,,,,,,,
Kingsman: The Secret Service,2015, Comedy            ,,,,,,,,,,,,,,,,
Kinsey,1996, Romance            ,,,,,,,,,,,,,,,,
Kiss Kiss Bang Bang,1982, Mystery            ,,,,,,,,,,,,,,,,
Knuckle,2006, Drama            ,,,,,,,,,,,,,,,,
Kubo and the Two Strings,1987, Adventure            ,,,,,,,,,,,,,,,,
L.A. Confidential,2010, Mystery            ,,,,,,,,,,,,,,,,
La La Land,1973, Music            ,,,,,,,,,,,,,,,,
Lawrence of Arabia,1975, Drama            ,,,,,,,,,,,,,,,,
Layer Cake,1959, Drama            ,,,,,,,,,,,,,,,,
Léon: The Professional,2004, Drama            ,,,,,,,,,,,,,,,,
Let the Right One In,2015, Fantasy            ,,,,,,,,,,,,,,,,
Lethal Weapon,1962, Thriller            ,,,,,,,,,,,,,,,,
Lethal Weapon 2,2004, Thriller            ,,,,,,,,,,,,,,,,
Letters from Iwo Jima,1983, Drama            ,,,,,,,,,,,,,,,,
Life Is Beautiful,2001, Romance            ,,,,,,,,,,,,,,,,
Life of Pi,1983, Fantasy            ,,,,,,,,,,,,,,,,
Live and Let Die,1997, Thriller            ,,,,,,,,,,,,,,,,
"Lock, Stock and Two Smoking Barrels",2010, Crime            ,,,,,,,,,,,,,,,,
Logan,2004, Sci-Fi            ,,,,,,,,,,,,,,,,
Lone Survivor,1975, Drama            ,,,,,,,,,,,,,,,,
Looper,2005, Sci-Fi            ,,,,,,,,,,,,,,,,
Lord of War,2007, Drama            ,,,,,,,,,,,,,,,,
Lords of Dogtown,1997, Sport            ,,,,,,,,,,,,,,,,
Los ojos de Julia,2012, Thriller            ,,,,,,,,,,,,,,,,
Machete,1961, Thriller            ,,,,,,,,,,,,,,,,
Mad Max,2000, Sci-Fi            ,,,,,,,,,,,,,,,,
Mad Max 2: The Road Warrior,1988, Sci-Fi            ,,,,,,,,,,,,,,,,
Mad Max: Fury Road,2013, Sci-Fi            ,,,,,,,,,,,,,,,,
Man on Fire,2010, Drama            ,,,,,,,,,,,,,,,,
Man on the Moon,2013, Drama            ,,,,,,,,,,,,,,,,
Manhattan,1999, Romance            ,,,,,,,,,,,,,,,,
Manhattan Melodrama,1990, Romance            ,,,,,,,,,,,,,,,,
Manhunter,2005, Thriller            ,,,,,,,,,,,,,,,,
Marley,1998, Music            ,,,,,,,,,,,,,,,,
Mary and Max,2010, Drama            ,,,,,,,,,,,,,,,,
Mary Poppins,2000, Fantasy            ,,,,,,,,,,,,,,,,
Master and Commander: The Far Side of the World,2004, Drama            ,,,,,,,,,,,,,,,,
Mean Streets,2010, Thriller            ,,,,,,,,,,,,,,,,
Memories of Murder,1998, Mystery            ,,,,,,,,,,,,,,,,
Men in Black,1950, Comedy            ,,,,,,,,,,,,,,,,
Mesrine: Killer Instinct,1972, Crime            ,,,,,,,,,,,,,,,,
Mesrine: Public Enemy No. 1,2011, Crime            ,,,,,,,,,,,,,,,,
Michael Clayton,2017, Mystery            ,,,,,,,,,,,,,,,,
Michael Collins,2009, Thriller            ,,,,,,,,,,,,,,,,
Midnight in Paris,2006, Romance            ,,,,,,,,,,,,,,,,
Midnight Run,1968, Crime            ,,,,,,,,,,,,,,,,
Midsommar,1988, Mystery            ,,,,,,,,,,,,,,,,
Miller's Crossing,2010, Thriller            ,,,,,,,,,,,,,,,,
Minority Report,2009, Mystery            ,,,,,,,,,,,,,,,,
Miracle on 34th Street,1975, Family            ,,,,,,,,,,,,,,,,
Mission: Impossible,2007, Thriller            ,,,,,,,,,,,,,,,,
Mission: Impossible - Fallout,1998, Thriller            ,,,,,,,,,,,,,,,,
Mission: Impossible - Ghost Protocol,1998, Thriller            ,,,,,,,,,,,,,,,,
Mission: Impossible - Rogue Nation,2008, Thriller            ,,,,,,,,,,,,,,,,
Mission: Impossible II,2010, Thriller            ,,,,,,,,,,,,,,,,
Mission: Impossible III,1948, Thriller            ,,,,,,,,,,,,,,,,
Mississippi Burning,2011, History            ,,,,,,,,,,,,,,,,
Mistaken for Strangers,2013, Music            ,,,,,,,,,,,,,,,,
Molly's Game,2011, Drama            ,,,,,,,,,,,,,,,,
Mona Lisa,1968, Romance            ,,,,,,,,,,,,,,,,
Moneyball,1986, Sport            ,,,,,,,,,,,,,,,,
Monsoon Wedding,2006, Romance            ,,,,,,,,,,,,,,,,
"Monsters, Inc.",1995, Comedy            ,,,,,,,,,,,,,,,,
Monument Ave.,1993, Thriller            ,,,,,,,,,,,,,,,,
Moon,2009, Sci-Fi            ,,,,,,,,,,,,,,,,
Moonrise Kingdom,1997, Romance            ,,,,,,,,,,,,,,,,
Moulin Rouge!,2010, Romance            ,,,,,,,,,,,,,,,,
Mulholland Drive,1998, Thriller            ,,,,,,,,,,,,,,,,
Munich,1974, History            ,,,,,,,,,,,,,,,,
Mystic River,2009, Mystery            ,,,,,,,,,,,,,,,,
Narc,1987, Mystery            ,,,,,,,,,,,,,,,,
Natural Born Killers,2013, Drama            ,,,,,,,,,,,,,,,,
Near Dark,1985, Drama            ,,,,,,,,,,,,,,,,
Night Watch,2001, Horror            ,,,,,,,,,,,,,,,,
Nightcrawler,2015, Thriller            ,,,,,,,,,,,,,,,,
Nixon,2005, History            ,,,,,,,,,,,,,,,,
No Country for Old Men,1979, Thriller            ,,,,,,,,,,,,,,,,
No Way Out,2004, Drama            ,,,,,,,,,,,,,,,,
Noah,1966, Drama            ,,,,,,,,,,,,,,,,
North by Northwest,1994, Thriller            ,,,,,,,,,,,,,,,,
Notting Hill,1962, Romance            ,,,,,,,,,,,,,,,,
Nurse Betty,2002, Drama            ,,,,,,,,,,,,,,,,
"O Brother, Where Art Thou?",1998, Crime            ,,,,,,,,,,,,,,,,
Oasis: Supersonic,2013, Music            ,,,,,,,,,,,,,,,,
Oldboy,2014, Mystery            ,,,,,,,,,,,,,,,,
On Her Majesty's Secret Service,1999, Thriller            ,,,,,,,,,,,,,,,,
On the Waterfront,1999, Thriller            ,,,,,,,,,,,,,,,,
Once,2017, Romance            ,,,,,,,,,,,,,,,,
Ong-Bak: The Thai Warrior,1991, Thriller            ,,,,,,,,,,,,,,,,
Out of Sight,2007, Drama            ,,,,,,,,,,,,,,,,
Pacific Rim,1984, Sci-Fi            ,,,,,,,,,,,,,,,,
Paddington,2011, Comedy            ,,,,,,,,,,,,,,,,
Pan's Labyrinth,1991, War            ,,,,,,,,,,,,,,,,
Paper Moon,1964, Drama            ,,,,,,,,,,,,,,,,
"Paris, je t'aime",2003, Romance            ,,,,,,,,,,,,,,,,
Patriots Day,1992, Drama            ,,,,,,,,,,,,,,,,
Persepolis,2006, Drama            ,,,,,,,,,,,,,,,,
Pinocchio,1995, Comedy            ,,,,,,,,,,,,,,,,
Piranha 3D,2000, Horror            ,,,,,,,,,,,,,,,,
Pirates of the Caribbean: Dead Man's Chest,1999, Fantasy            ,,,,,,,,,,,,,,,,
Pirates of the Caribbean: The Curse of the Black Pearl,2008, Fantasy            ,,,,,,,,,,,,,,,,
Pitch Black,1986, Sci-Fi            ,,,,,,,,,,,,,,,,
Planet Terror,2019, Fantasy            ,,,,,,,,,,,,,,,,
Point Blank,1992, Thriller            ,,,,,,,,,,,,,,,,
Point Break,2008, Thriller            ,,,,,,,,,,,,,,,,
Predator,1997, Horror            ,,,,,,,,,,,,,,,,
Primal Fear,1985, Mystery            ,,,,,,,,,,,,,,,,
Princess Mononoke,1990, Adventure            ,,,,,,,,,,,,,,,,
Prisoners,1967, Mystery            ,,,,,,,,,,,,,,,,
Private Parts,1989, Drama            ,,,,,,,,,,,,,,,,
Prometheus,2005, Sci-Fi            ,,,,,,,,,,,,,,,,
Psycho,1995, Thriller            ,,,,,,,,,,,,,,,,
Punch-Drunk Love,2011, Romance            ,,,,,,,,,,,,,,,,
Quantum of Solace,2012, Thriller            ,,,,,,,,,,,,,,,,
Quiz Show,2005, History            ,,,,,,,,,,,,,,,,
Raging Bull,2002, Sport            ,,,,,,,,,,,,,,,,
Rango,2004, Adventure            ,,,,,,,,,,,,,,,,
Ratatouille,2011, Comedy            ,,,,,,,,,,,,,,,,
Re-Animator,2006, Sci-Fi            ,,,,,,,,,,,,,,,,
REC,2017, Thriller            ,,,,,,,,,,,,,,,,
Rescue Dawn,2005, Drama            ,,,,,,,,,,,,,,,,
Reservoir Dogs,2007, Thriller            ,,,,,,,,,,,,,,,,
Rise of the Planet of the Apes,2000, Sci-Fi            ,,,,,,,,,,,,,,,,
Risky Business,1998, Drama            ,,,,,,,,,,,,,,,,
Road to Perdition,2009, Thriller            ,,,,,,,,,,,,,,,,
RoboCop,1997, Sci-Fi            ,,,,,,,,,,,,,,,,
Ronin,2012, Thriller            ,,,,,,,,,,,,,,,,
